"Performance Index, Trend"
"All Districts, All Schools, All Students"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,"2015-16",,,"2016-17",,,"2017-18",,
"District Name","District Code","School Name","School Code","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex"
"Waterbury School District","=""1510011""","Regan School","=""1512811""",64.2,57.8,46.8,60.4,55.0,37.5,58.9,56.2,"N/A"
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""",71.6,65.2,53.8,68.8,64.9,53.0,71.6,66.8,"N/A"
"Waterbury School District","=""1510011""","Sprague School","=""1512011""",51.2,46.3,39.6,51.6,46.7,35.1,50.1,45.9,"N/A"
"Waterbury School District","=""1510011""","State Street School","=""1519011""",27.1,21.2,"*",31.8,19.4,"*",25.4,"*","N/A"
"Waterbury School District","=""1510011""","Wallace BDLC","=""1514411""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"Waterbury School District","=""1510011""","Wallace Bilingual","=""1515811""","N/A","N/A","N/A",33.2,24.3,"*",27.4,32.7,"N/A"
"Waterbury School District","=""1510011""","Wallace SCOPE","=""1514911""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"Waterbury School District","=""1510011""","Walsh School","=""1512211""",53.2,44.9,33.9,50.5,48.3,40.2,52.2,48.0,"N/A"
"Waterbury School District","=""1510011""","Washington School","=""1512311""",60.0,49.2,41.5,57.2,48.9,39.6,57.8,50.0,"N/A"
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",54.1,47.7,52.3,55.1,48.6,48.1,53.2,46.3,"N/A"
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""",65.2,54.2,51.4,65.6,53.6,53.0,64.2,55.1,"N/A"
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""",50.0,44.0,53.0,53.3,49.7,50.2,51.3,48.0,"N/A"
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""",65.1,54.8,50.1,64.7,62.1,45.8,69.2,63.1,"N/A"
"Waterbury School District","=""1510011""","West Side BDLC","=""1514711""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Waterbury School District","=""1510011""","West Side Bilingual","=""1515611""","N/A","N/A","N/A",20.5,22.6,"*","*","*","N/A"
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""",50.3,40.3,43.7,49.8,40.2,42.0,50.0,41.5,"N/A"
"Waterbury School District","=""1510011""","West Side SCOPE","=""1515511""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"Waterbury School District","=""1510011""","Wilby ESC","=""1511711""","*","*","*","N/A","N/A","*","*","*","N/A"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",42.7,36.5,36.2,41.0,35.3,36.0,39.3,35.8,"N/A"
"Waterbury School District","=""1510011""","Woodrow Wilson BDLC","=""1511211""","*","*","*","*","*","*","*","*","N/A"
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""",57.9,50.5,45.3,55.5,53.2,39.2,54.4,52.4,"N/A"
"Waterford School District","=""1520011""","Autism Class","=""1521111""","*","*","N/A","N/A","N/A","N/A","*","*","N/A"
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""",70.3,62.4,59.8,71.6,65.7,60.9,72.5,66.9,"N/A"
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""",77.3,71.7,58.7,78.6,71.6,60.0,77.8,71.8,"N/A"
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""",76.3,68.5,60.4,74.8,67.8,60.3,76.9,71.6,"N/A"
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""",77.3,73.1,60.3,72.7,71.8,59.1,75.2,73.4,"N/A"
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",61.5,57.9,62.9,63.2,57.1,59.1,61.4,59.3,"N/A"
"Waterford School District","=""1520011""","Waterford High School Tutor Center","=""1521211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""",75.4,66.3,57.9,75.0,68.5,60.0,78.2,71.9,"N/A"
"Watertown School District","=""1530011""","Polk School","=""1530411""",71.4,62.8,60.1,74.1,68.0,61.1,72.0,70.3,"N/A"
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""",71.7,58.8,57.3,71.1,61.7,59.4,74.3,63.3,"N/A"
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",58.1,52.5,60.8,60.2,54.5,58.3,57.1,51.3,"N/A"
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""",78.9,71.2,"N/A",78.8,77.3,"N/A",77.0,77.7,"N/A"
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",58.0,53.0,60.4,63.3,57.8,58.4,65.6,62.6,"N/A"
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""",80.0,75.4,66.6,80.9,77.4,63.8,80.7,74.6,"N/A"
"West Hartford School District","=""1550011""","Aiken School","=""1551611""",78.3,70.4,62.5,80.0,74.2,62.7,78.1,71.6,"N/A"
"West Hartford School District","=""1550011""","Braeburn Learning Center","=""1559311""","*","*","N/A","*","*","*","*","*","N/A"
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""",82.3,75.9,67.1,78.8,74.0,68.6,79.8,75.1,"N/A"
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""",78.3,70.6,65.9,78.2,72.8,69.2,76.9,71.1,"N/A"
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""",87.6,83.3,67.1,88.6,85.1,68.6,86.9,83.0,"N/A"
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""",73.0,65.5,57.0,73.1,65.8,58.1,72.2,65.8,"N/A"
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",65.2,62.8,71.6,67.8,65.3,68.0,65.3,63.2,"N/A"
"West Hartford School District","=""1550011""","Duffy School","=""1550611""",79.6,74.2,64.7,77.6,72.4,61.5,78.0,76.5,"N/A"
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",69.7,66.9,74.8,71.5,68.6,73.2,73.2,70.0,"N/A"
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""",75.3,67.5,62.3,77.0,71.1,62.9,76.5,71.9,"N/A"
"West Hartford School District","=""1550011""","Morley School","=""1550911""",80.0,73.5,65.7,81.1,74.4,63.3,81.1,75.7,"N/A"
"West Hartford School District","=""1550011""","Norfeldt Learning Center","=""1559411""","*","*","*","*","*","*","*","*","N/A"
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""",77.5,74.2,64.3,80.1,74.8,61.9,82.9,79.7,"N/A"
"West Hartford School District","=""1550011""","REACH","=""1557311""",35.8,32.6,"*","*","*","*","*","*","N/A"
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""",72.1,61.2,61.2,73.0,64.7,60.2,73.5,64.8,"N/A"
"West Hartford School District","=""1550011""","Smith School","=""1551711""",75.6,68.2,67.3,75.0,69.7,61.5,76.3,71.2,"N/A"
"West Hartford School District","=""1550011""","Strive-West Hartford","=""1559211""","*","*","*","*","*","*","*","*","N/A"
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""",76.9,69.5,57.8,75.5,69.9,55.5,75.7,70.9,"N/A"
"West Hartford School District","=""1550011""","Whiting Lane Learning Center","=""1559511""","*","*","N/A","*","*","*","*","*","N/A"
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""",82.7,75.8,65.8,80.9,75.3,62.4,82.5,77.1,"N/A"
"West Hartford School District","=""1550011""","Wolcott Learning Center","=""1559611""","*","*","N/A","*","*","*","*","*","N/A"
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""",75.1,69.3,63.8,73.8,71.4,62.0,74.1,70.7,"N/A"
"West Haven School District","=""1560011""","ASD Lab","=""1561111""","*","*","*","N/A","N/A","*","N/A","N/A","N/A"
"West Haven School District","=""1560011""","Alma E. Pagels School","=""1560811""",68.2,67.0,"N/A",68.0,68.0,"N/A",67.5,68.0,"N/A"
"West Haven School District","=""1560011""","Blended","=""1560711""","*","*","*","*","*","*","*","*","N/A"
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""","*","*","*","*","*","*","*","*","N/A"
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""",66.3,60.0,56.9,66.2,59.8,55.7,66.6,61.4,"N/A"
"West Haven School District","=""1560011""","Edith E. Mackrille School","=""1560611""",80.4,74.6,"N/A",81.7,75.7,"N/A",85.5,79.2,"N/A"
"West Haven School District","=""1560011""","Forest School","=""1560311""",67.8,60.4,"N/A",68.9,64.9,"N/A",65.5,59.5,"N/A"
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""",60.2,55.5,50.3,62.8,60.9,47.8,63.1,61.5,"N/A"
"West Haven School District","=""1560011""","Life Skills","=""1560111""","*","*","*","*","*","*","*","*","N/A"
"West Haven School District","=""1560011""","PACE","=""1560211""","N/A","N/A","*","*","*","*","*","*","N/A"
"West Haven School District","=""1560011""","Savin Rock Community School","=""1561411""",66.4,61.0,"N/A",64.4,62.0,"N/A",65.3,60.3,"N/A"
"West Haven School District","=""1560011""","Seth G. Haley School","=""1560411""",70.8,63.3,"N/A",65.6,60.5,"N/A",64.2,63.7,"N/A"
"West Haven School District","=""1560011""","Washington School","=""1561211""",62.9,63.1,"N/A",64.5,63.4,"N/A",63.6,61.9,"N/A"
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",50.4,47.0,55.8,51.7,45.8,50.9,50.5,45.7,"N/A"
"Weston School District","=""1570011""","Weston High School","=""1576111""",70.2,70.0,71.3,77.9,75.4,65.4,75.1,73.6,"N/A"
"Weston School District","=""1570011""","Weston Intermediate School","=""1570211""",80.6,77.1,71.8,77.8,75.5,68.5,80.2,78.1,"N/A"
"Weston School District","=""1570011""","Weston Middle School","=""1575111""",78.9,73.8,64.9,77.1,76.1,66.3,79.7,76.0,"N/A"
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""",79.9,74.3,67.5,79.0,76.3,65.6,82.0,80.6,"N/A"
"Westport School District","=""1580011""","Coleytown Elementary School","=""1580311""",82.6,78.5,70.6,80.8,76.0,64.4,85.3,83.0,"N/A"
"Westport School District","=""1580011""","Coleytown Middle School","=""1585311""",80.0,73.3,67.1,78.6,74.4,63.5,82.4,81.0,"N/A"
"Westport School District","=""1580011""","GFS Intensive Resource","=""1580211""","*","*","*","*","*","*","*","*","N/A"
"Westport School District","=""1580011""","Green's Farms School","=""1580411""",89.2,83.4,67.2,86.8,81.7,65.3,89.2,86.3,"N/A"
"Westport School District","=""1580011""","King's Highway Elementary School","=""1580511""",81.5,76.4,64.1,83.6,80.2,65.6,84.0,80.3,"N/A"
"Westport School District","=""1580011""","King's Highway Segregated","=""1580611""","*","*","N/A","*","*","*","N/A","N/A","N/A"
"Westport School District","=""1580011""","LLS Intensive Resource","=""1580111""","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Westport School District","=""1580011""","Long Lots School","=""1580711""",87.1,83.1,71.3,85.6,80.3,65.0,87.0,83.8,"N/A"
"Westport School District","=""1580011""","Saugatuck Elementary School","=""1580811""",85.5,80.4,67.4,85.4,79.5,67.5,86.7,81.6,"N/A"
"Westport School District","=""1580011""","Staples High School","=""1586111""",73.3,73.5,72.2,76.3,74.8,68.2,75.1,74.8,"N/A"
"Wethersfield School District","=""1590011""","Alfred W. Hanmer School","=""1590811""",79.8,74.9,64.5,77.7,76.5,60.4,77.7,76.2,"N/A"
"Wethersfield School District","=""1590011""","Charles Wright School","=""1591011""",74.0,66.6,61.6,72.8,67.2,57.6,73.0,66.4,"N/A"
"Wethersfield School District","=""1590011""","Emerson-Williams School","=""1590211""",73.9,70.3,62.1,74.6,70.2,60.9,72.9,66.6,"N/A"
"Wethersfield School District","=""1590011""","Highcrest School","=""1591111""",77.4,73.2,66.7,76.6,72.1,61.4,76.3,73.3,"N/A"
"Wethersfield School District","=""1590011""","Samuel B. Webb Elementary School","=""1591211""",74.1,67.0,60.3,74.3,69.3,60.6,75.9,69.3,"N/A"
"Wethersfield School District","=""1590011""","Silas Deane Middle School","=""1595211""",71.1,67.3,57.6,73.5,70.5,59.7,72.2,69.8,"N/A"
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",58.3,57.4,61.8,62.2,58.8,56.6,59.8,57.4,"N/A"
"Willington School District","=""1600011""","Center School","=""1600111""",68.4,64.9,"N/A",69.7,67.9,"N/A",73.8,70.1,"N/A"
"Willington School District","=""1600011""","Hall Memorial School","=""1605111""",69.4,65.3,56.7,69.6,65.8,57.4,73.1,67.9,"N/A"
"Wilton School District","=""1610011""","Cider Mill School","=""1610711""",80.8,73.7,64.4,80.6,76.2,67.4,82.6,76.5,"N/A"
"Wilton School District","=""1610011""","Middlebrook School","=""1615211""",80.1,73.7,68.6,76.9,73.6,67.6,79.2,76.4,"N/A"
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",74.3,72.6,73.8,77.0,74.4,65.2,74.0,72.1,"N/A"
"Winchester School District","=""1620011""","Mary P. Hinsdale School","=""1620211""",66.8,59.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Winchester School District","=""1620011""","Pearson School","=""1625111""",63.7,55.6,51.2,63.8,57.8,55.3,65.8,66.1,"N/A"
"Windham School District","=""1630011""","Charles H. Barrows STEM Academy","=""1630411""",71.0,63.6,56.8,70.2,64.4,57.6,70.8,66.6,"N/A"
"Windham School District","=""1630011""","Natchaug School","=""1630111""",53.6,51.2,41.7,52.7,50.7,32.6,57.4,54.0,"N/A"
"Windham School District","=""1630011""","North Windham ASD Program","=""1630811""","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Windham School District","=""1630011""","North Windham School","=""1630311""",61.0,53.3,43.5,62.0,52.2,39.7,61.1,55.3,"N/A"
"Windham School District","=""1630011""","Sweeney ASD Program","=""1631111""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Windham School District","=""1630011""","Sweeney Medically Fragile Program","=""1630911""","*","*","*","N/A","N/A","N/A","*","*","N/A"
"Windham School District","=""1630011""","W. B. Sweeney School","=""1630611""",62.8,58.2,46.9,62.1,60.6,50.6,58.6,58.1,"N/A"
"Windham School District","=""1630011""","Windham Center School","=""1630511""",60.4,58.8,42.5,66.0,67.9,47.4,62.5,63.4,"N/A"
"Windham School District","=""1630011""","Windham High School","=""1636111""",44.3,39.7,43.4,46.6,42.9,36.1,44.0,40.5,"N/A"
"Windham School District","=""1630011""","Windham Middle School","=""1635111""",55.0,44.8,41.8,54.5,45.7,40.4,51.1,45.9,"N/A"
"Windsor School District","=""1640011""","Clover Street School","=""1640111""",69.3,64.5,56.1,68.5,65.2,54.3,65.0,61.5,"N/A"
"Windsor School District","=""1640011""","Expulsion","=""1640411""","N/A","N/A","*","*","*","N/A","N/A","N/A","N/A"
"Windsor School District","=""1640011""","John F. Kennedy School","=""1640811""",64.0,60.8,49.4,65.9,64.9,53.0,64.2,62.0,"N/A"
"Windsor School District","=""1640011""","Plato Credit Recovery","=""1640611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Windsor School District","=""1640011""","Sage Park Middle School","=""1645311""",62.8,57.8,57.2,64.8,60.1,61.6,63.3,59.7,"N/A"
"Windsor School District","=""1640011""","Spark","=""1640311""","*","*","*","*","*","*","*","*","N/A"
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",55.8,52.1,57.7,57.7,54.2,54.2,56.4,52.7,"N/A"
"Windsor Locks School District","=""1650011""","Pine Meadow Academy","=""1650611""","*","*","*","*","*","*","*","*","N/A"
"Windsor Locks School District","=""1650011""","South Elementary School","=""1650411""",68.6,64.2,55.8,67.9,65.5,54.9,69.7,67.1,"N/A"
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",54.8,50.9,55.9,54.5,53.3,56.0,57.3,54.9,"N/A"
"Windsor Locks School District","=""1650011""","Windsor Locks Middle School","=""1655111""",64.5,55.4,54.2,63.7,55.9,51.9,66.4,56.6,"N/A"
"Wolcott School District","=""1660011""","ABC Classroom","=""1660311""","*","*","*","*","*","N/A","*","*","N/A"
"Wolcott School District","=""1660011""","Alcott School","=""1660611""",75.4,71.0,60.8,73.9,70.0,59.3,77.5,74.0,"N/A"
"Wolcott School District","=""1660011""","Frisbie School","=""1660211""",82.9,79.7,73.0,78.4,77.8,62.6,85.9,82.4,"N/A"
"Wolcott School District","=""1660011""","Phoenix Program","=""1660411""","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Wolcott School District","=""1660011""","Tyrrell Middle School","=""1665111""",72.3,67.2,62.2,69.7,68.0,59.8,73.2,68.9,"N/A"
"Wolcott School District","=""1660011""","Wakelee School","=""1660511""",71.4,68.7,62.4,71.3,69.8,53.9,75.6,73.7,"N/A"
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",61.6,58.0,60.8,63.4,59.0,54.8,57.7,55.7,"N/A"
"Woodbridge School District","=""1670011""","Beecher Road School","=""1670311""",82.1,76.3,74.8,82.0,77.5,69.3,81.1,76.5,"N/A"
"Woodstock School District","=""1690011""","Woodstock Elementary School","=""1690211""",80.1,69.6,"N/A",76.5,67.3,"N/A",75.1,66.0,"N/A"
"Woodstock School District","=""1690011""","Woodstock Middle School","=""1695111""",73.9,65.6,65.5,70.2,61.3,63.9,72.4,65.1,"N/A"
"Regional School District 01","=""2010012""","ALPSS","=""2010512""","N/A","N/A","*","*","*","N/A","N/A","N/A","N/A"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",62.1,55.7,56.2,56.1,51.5,55.5,59.1,53.5,"N/A"
"Regional School District 01","=""2010012""","LEAPSS","=""2010412""","*","*","N/A","*","*","*","*","*","N/A"
"Regional School District 01","=""2010012""","SELC","=""2010312""","*","*","*","*","*","*","*","*","N/A"
"Regional School District 01","=""2010012""","TOTAL","=""2010212""","*","*","N/A","*","*","*","*","*","N/A"
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""",73.0,65.8,65.7,75.0,69.4,63.5,77.5,71.2,"N/A"
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",67.4,59.6,69.1,67.9,60.2,60.2,65.8,59.1,"N/A"
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",80.5,76.9,67.3,78.6,74.0,69.4,83.5,80.1,"N/A"
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""",77.7,72.3,62.0,80.8,78.2,66.9,83.4,78.0,"N/A"
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",69.2,66.7,71.2,71.0,69.3,68.1,70.1,68.7,"N/A"
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""",79.6,70.2,65.0,77.2,70.7,62.6,82.8,76.3,"N/A"
"Regional School District 06","=""2060012""","James Morris School","=""2060212""",73.5,64.5,"*",74.5,65.0,"*",74.1,66.3,"N/A"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",64.1,57.2,60.2,63.9,58.6,58.8,71.3,62.7,"N/A"
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""",82.3,70.5,"*",79.5,70.0,"*",81.9,75.1,"N/A"
"Regional School District 07","=""2070012""","AIM","=""2079112""","*","*","*","*","*","N/A","*","*","N/A"
"Regional School District 07","=""2070012""","FLEX","=""2079012""","*","*","*","*","*","*","*","*","N/A"
"Regional School District 07","=""2070012""","Links","=""2079212""","*","*","*","*","*","*","*","*","N/A"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",66.2,62.6,68.0,68.4,65.7,67.9,67.8,66.7,"N/A"
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""",75.3,72.5,71.1,74.9,68.4,67.5,75.0,66.7,"N/A"
"Regional School District 07","=""2070012""","STEP","=""2079312""","*","*","*","*","*","*","*","*","N/A"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",67.0,66.3,66.5,71.0,70.9,60.4,68.3,68.9,"N/A"
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""",73.6,69.1,61.5,72.3,71.2,61.3,74.7,70.8,"N/A"
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",70.9,68.5,71.9,71.7,69.2,70.8,69.8,68.9,"N/A"
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",74.2,67.0,60.8,76.2,72.4,62.7,77.4,71.5,"N/A"
"Regional School District 10","=""2100012""","Harwinton Consolidated School","=""2100312""",81.3,80.0,"N/A",79.3,80.4,"N/A",81.0,81.1,"N/A"
"Regional School District 10","=""2100012""","Lake Garda Elementary School","=""2100212""",78.2,76.6,"N/A",76.7,76.4,"N/A",78.7,77.4,"N/A"
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",66.7,63.9,68.2,69.7,65.6,62.2,68.2,66.3,"N/A"
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",67.4,58.1,58.9,66.8,59.1,56.3,65.9,58.2,"N/A"
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""",78.1,77.6,"*",82.0,81.2,75.9,81.1,81.7,"N/A"
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",74.2,68.6,67.5,72.2,66.5,61.5,71.9,68.2,"N/A"
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""",81.9,77.3,"*",88.0,86.5,"*","*","*","N/A"
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""",79.0,76.6,"*",81.4,80.6,63.0,81.5,80.1,"N/A"
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",66.0,60.6,72.4,68.7,64.6,61.9,65.3,58.9,"N/A"
"Regional School District 13","=""2130012""","Francis E. Korn School","=""2130212""",73.7,65.8,"N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""",70.5,64.2,65.6,71.4,65.3,64.6,71.5,67.8,"N/A"
"Regional School District 13","=""2130012""","Frederick Brewster School","=""2130112""","N/A","N/A","N/A",70.4,67.8,"N/A",76.6,67.7,"N/A"
"Regional School District 13","=""2130012""","John Lyman School","=""2130512""",77.7,70.8,"N/A",77.0,72.9,"N/A",77.0,73.2,"N/A"
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""",77.3,69.9,64.8,74.8,72.2,63.4,77.0,72.9,"N/A"
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""",75.7,66.8,64.6,72.9,62.1,56.0,74.5,64.2,"N/A"
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""",77.2,68.8,63.5,74.8,66.2,65.6,76.1,69.6,"N/A"
"Regional School District 14","=""2140012""","Nonnewaug Chiefs Alternative Program","=""2140312""","N/A","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",61.9,60.8,65.0,61.8,60.3,62.4,59.3,57.5,"N/A"
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""",68.8,61.4,61.2,68.7,59.2,61.1,69.8,61.1,"N/A"
"Regional School District 15","=""2150012""","Gainfield Elementary School","=""2150412""",81.7,77.8,68.1,80.9,79.6,65.2,78.0,77.4,"N/A"
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""",83.5,76.3,68.2,82.4,81.3,63.6,79.9,78.8,"N/A"
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""","*","*","*","*","*","*","*","*","N/A"
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""",79.2,71.5,64.7,78.1,72.6,64.1,74.7,70.4,"N/A"
"Regional School District 15","=""2150012""","Middlebury Elementary School","=""2150612""",76.5,72.0,68.4,73.4,73.9,64.9,73.0,74.6,"N/A"
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",67.2,64.6,70.7,69.3,67.5,66.2,67.4,66.3,"N/A"
"Regional School District 15","=""2150012""","Pomperaug School","=""2150512""",80.9,75.0,68.4,76.7,77.7,57.4,75.9,76.4,"N/A"
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""",78.8,71.0,65.6,77.5,72.1,63.8,77.2,70.5,"N/A"
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""",76.8,73.7,69.6,80.1,75.4,65.5,79.4,73.9,"N/A"
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""",69.7,62.6,58.7,69.3,65.9,54.8,74.9,67.6,"N/A"
"Regional School District 16","=""2160012""","Prospect Elementary School","=""2160512""",76.3,71.1,56.5,77.7,73.2,54.0,79.9,74.0,"N/A"
"Regional School District 16","=""2160012""","WRHS Alternative Education Program","=""2160412""","*","*","N/A","*","*","*","*","*","N/A"
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",62.9,55.5,57.9,62.8,56.5,55.1,62.5,59.6,"N/A"
"Regional School District 17","=""2170012""","Burr District Elementary School","=""2170212""",79.6,76.4,"N/A",77.3,76.2,"N/A",78.4,77.2,"N/A"
"Regional School District 17","=""2170012""","Haddam Elementary School","=""2170112""",81.7,77.6,"N/A",78.8,75.3,"N/A",82.3,79.2,"N/A"
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",66.3,60.5,70.8,66.7,63.0,68.8,68.2,63.4,"N/A"
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""",77.0,69.4,66.6,76.8,71.7,65.3,77.5,71.5,"N/A"
"Regional School District 17","=""2170012""","Killingworth Elementary School","=""2170312""",79.1,75.3,"N/A",80.2,73.5,"N/A",79.7,74.6,"N/A"
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Regional School District 18","=""2180012""","Lyme Consolidated School","=""2180112""",82.4,76.9,63.7,83.0,83.2,65.0,81.3,79.0,"N/A"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",67.4,62.9,67.0,72.7,67.8,65.3,69.3,67.3,"N/A"
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""",77.8,77.1,67.7,76.6,76.0,63.5,78.3,77.6,"N/A"
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""",87.1,82.9,70.1,86.3,83.5,64.3,84.8,83.8,"N/A"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",66.3,63.8,64.5,67.4,67.5,62.1,64.6,63.6,"N/A"
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""","*","*","*","*","*","*","*","*","N/A"
"Regional School District 19","=""2190012""","PM Panthers","=""2190212""","*","*","N/A","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",68.1,62.4,64.2,64.7,58.5,57.7,62.6,55.7,"N/A"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""","N/A","N/A","N/A",65.1,60.5,"N/A",71.2,67.3,"N/A"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",60.6,49.6,48.1,53.4,45.6,46.6,56.0,47.7,"N/A"
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",66.0,55.2,"N/A",72.4,67.8,"N/A",70.0,65.8,"N/A"
